0x0000 : 0000 0000 0000 0000 = movs r0, r0
0x0001 : 0000 0000 0000 0001 = movs r1, r0
0x0002 : 0000 0000 0000 0010 = movs r2, r0
0x0003 : 0000 0000 0000 0011 = movs r3, r0
0x0004 : 0000 0000 0000 0100 = movs r4, r0
0x0005 : 0000 0000 0000 0101 = movs r5, r0
0x0006 : 0000 0000 0000 0110 = movs r6, r0
0x0007 : 0000 0000 0000 0111 = movs r7, r0
0x0008 : 0000 0000 0000 1000 = movs r0, r1
0x0009 : 0000 0000 0000 1001 = movs r1, r1
0x000a : 0000 0000 0000 1010 = movs r2, r1
0x000b : 0000 0000 0000 1011 = movs r3, r1
0x000c : 0000 0000 0000 1100 = movs r4, r1
0x000d : 0000 0000 0000 1101 = movs r5, r1
0x000e : 0000 0000 0000 1110 = movs r6, r1
0x000f : 0000 0000 0000 1111 = movs r7, r1
0x0010 : 0000 0000 0001 0000 = movs r0, r2
0x0011 : 0000 0000 0001 0001 = movs r1, r2
0x0012 : 0000 0000 0001 0010 = movs r2, r2
0x0013 : 0000 0000 0001 0011 = movs r3, r2
0x0014 : 0000 0000 0001 0100 = movs r4, r2
0x0015 : 0000 0000 0001 0101 = movs r5, r2
0x0016 : 0000 0000 0001 0110 = movs r6, r2
0x0017 : 0000 0000 0001 0111 = movs r7, r2
0x0018 : 0000 0000 0001 1000 = movs r0, r3
0x0019 : 0000 0000 0001 1001 = movs r1, r3
0x001a : 0000 0000 0001 1010 = movs r2, r3
0x001b : 0000 0000 0001 1011 = movs r3, r3
0x001c : 0000 0000 0001 1100 = movs r4, r3
0x001d : 0000 0000 0001 1101 = movs r5, r3
0x001e : 0000 0000 0001 1110 = movs r6, r3
0x001f : 0000 0000 0001 1111 = movs r7, r3
0x0020 : 0000 0000 0010 0000 = movs r0, r4
0x0021 : 0000 0000 0010 0001 = movs r1, r4
0x0022 : 0000 0000 0010 0010 = movs r2, r4
0x0023 : 0000 0000 0010 0011 = movs r3, r4
0x0024 : 0000 0000 0010 0100 = movs r4, r4
0x0025 : 0000 0000 0010 0101 = movs r5, r4
0x0026 : 0000 0000 0010 0110 = movs r6, r4
0x0027 : 0000 0000 0010 0111 = movs r7, r4
0x0028 : 0000 0000 0010 1000 = movs r0, r5
0x0029 : 0000 0000 0010 1001 = movs r1, r5
0x002a : 0000 0000 0010 1010 = movs r2, r5
0x002b : 0000 0000 0010 1011 = movs r3, r5
0x002c : 0000 0000 0010 1100 = movs r4, r5
0x002d : 0000 0000 0010 1101 = movs r5, r5
0x002e : 0000 0000 0010 1110 = movs r6, r5
0x002f : 0000 0000 0010 1111 = movs r7, r5
0x0030 : 0000 0000 0011 0000 = movs r0, r6
0x0031 : 0000 0000 0011 0001 = movs r1, r6
0x0032 : 0000 0000 0011 0010 = movs r2, r6
0x0033 : 0000 0000 0011 0011 = movs r3, r6
0x0034 : 0000 0000 0011 0100 = movs r4, r6
0x0035 : 0000 0000 0011 0101 = movs r5, r6
0x0036 : 0000 0000 0011 0110 = movs r6, r6
0x0037 : 0000 0000 0011 0111 = movs r7, r6
0x0038 : 0000 0000 0011 1000 = movs r0, r7
0x0039 : 0000 0000 0011 1001 = movs r1, r7
0x003a : 0000 0000 0011 1010 = movs r2, r7
0x003b : 0000 0000 0011 1011 = movs r3, r7
0x003c : 0000 0000 0011 1100 = movs r4, r7
0x003d : 0000 0000 0011 1101 = movs r5, r7
0x003e : 0000 0000 0011 1110 = movs r6, r7
0x003f : 0000 0000 0011 1111 = movs r7, r7
0x0040 : 0000 0000 0100 0000 = lsls r0, r0, #1
0x0041 : 0000 0000 0100 0001 = lsls r1, r0, #1
0x0042 : 0000 0000 0100 0010 = lsls r2, r0, #1
0x0043 : 0000 0000 0100 0011 = lsls r3, r0, #1
0x0044 : 0000 0000 0100 0100 = lsls r4, r0, #1
0x0045 : 0000 0000 0100 0101 = lsls r5, r0, #1
0x0046 : 0000 0000 0100 0110 = lsls r6, r0, #1
0x0047 : 0000 0000 0100 0111 = lsls r7, r0, #1
0x0048 : 0000 0000 0100 1000 = lsls r0, r1, #1
0x0049 : 0000 0000 0100 1001 = lsls r1, r1, #1
0x004a : 0000 0000 0100 1010 = lsls r2, r1, #1
0x004b : 0000 0000 0100 1011 = lsls r3, r1, #1
0x004c : 0000 0000 0100 1100 = lsls r4, r1, #1
0x004d : 0000 0000 0100 1101 = lsls r5, r1, #1
0x004e : 0000 0000 0100 1110 = lsls r6, r1, #1
0x004f : 0000 0000 0100 1111 = lsls r7, r1, #1
0x0050 : 0000 0000 0101 0000 = lsls r0, r2, #1
0x0051 : 0000 0000 0101 0001 = lsls r1, r2, #1
0x0052 : 0000 0000 0101 0010 = lsls r2, r2, #1
0x0053 : 0000 0000 0101 0011 = lsls r3, r2, #1
0x0054 : 0000 0000 0101 0100 = lsls r4, r2, #1
0x0055 : 0000 0000 0101 0101 = lsls r5, r2, #1
0x0056 : 0000 0000 0101 0110 = lsls r6, r2, #1
0x0057 : 0000 0000 0101 0111 = lsls r7, r2, #1
0x0058 : 0000 0000 0101 1000 = lsls r0, r3, #1
0x0059 : 0000 0000 0101 1001 = lsls r1, r3, #1
0x005a : 0000 0000 0101 1010 = lsls r2, r3, #1
0x005b : 0000 0000 0101 1011 = lsls r3, r3, #1
0x005c : 0000 0000 0101 1100 = lsls r4, r3, #1
0x005d : 0000 0000 0101 1101 = lsls r5, r3, #1
0x005e : 0000 0000 0101 1110 = lsls r6, r3, #1
0x005f : 0000 0000 0101 1111 = lsls r7, r3, #1
0x0060 : 0000 0000 0110 0000 = lsls r0, r4, #1
0x0061 : 0000 0000 0110 0001 = lsls r1, r4, #1
0x0062 : 0000 0000 0110 0010 = lsls r2, r4, #1
0x0063 : 0000 0000 0110 0011 = lsls r3, r4, #1
0x0064 : 0000 0000 0110 0100 = lsls r4, r4, #1
0x0065 : 0000 0000 0110 0101 = lsls r5, r4, #1
0x0066 : 0000 0000 0110 0110 = lsls r6, r4, #1
0x0067 : 0000 0000 0110 0111 = lsls r7, r4, #1
0x0068 : 0000 0000 0110 1000 = lsls r0, r5, #1
0x0069 : 0000 0000 0110 1001 = lsls r1, r5, #1
0x006a : 0000 0000 0110 1010 = lsls r2, r5, #1
0x006b : 0000 0000 0110 1011 = lsls r3, r5, #1
0x006c : 0000 0000 0110 1100 = lsls r4, r5, #1
0x006d : 0000 0000 0110 1101 = lsls r5, r5, #1
0x006e : 0000 0000 0110 1110 = lsls r6, r5, #1
0x006f : 0000 0000 0110 1111 = lsls r7, r5, #1
0x0070 : 0000 0000 0111 0000 = lsls r0, r6, #1
0x0071 : 0000 0000 0111 0001 = lsls r1, r6, #1
0x0072 : 0000 0000 0111 0010 = lsls r2, r6, #1
0x0073 : 0000 0000 0111 0011 = lsls r3, r6, #1
0x0074 : 0000 0000 0111 0100 = lsls r4, r6, #1
0x0075 : 0000 0000 0111 0101 = lsls r5, r6, #1
0x0076 : 0000 0000 0111 0110 = lsls r6, r6, #1
